Time,Voltage
0.0,0.009765625
0.006,0.0244140625
0.012,0.01953125
0.018,0.0244140625
0.023,0.01953125
0.029,0.029296875
0.035,0.0341796875
0.041,0.0341796875
0.047,0.048828125
0.055,0.0390625
0.06,0.0439453125
0.066,0.0537109375
0.074,0.048828125
0.082,0.05859375
0.089,0.0634765625
0.097,0.0634765625
0.105,0.0732421875
0.113,0.0732421875
0.12,0.0830078125
0.128,0.0830078125
0.136,0.0830078125
0.144,0.0830078125
0.152,0.087890625
0.159,0.09765625
0.167,0.09765625
0.175,0.1025390625
0.183,0.1025390625
0.191,0.1123046875
0.198,0.1123046875
0.206,0.1220703125
0.214,0.1220703125
0.222,0.126953125
0.23,0.126953125
0.237,0.13671875
0.245,0.13671875
0.253,0.1416015625
0.261,0.1513671875
0.269,0.15625
0.276,0.1513671875
0.284,0.1611328125
0.292,0.1611328125
0.3,0.166015625
0.308,0.1708984375
0.316,0.17578125
0.324,0.1806640625
0.332,0.1806640625
0.339,0.1904296875
0.347,0.185546875
0.355,0.1904296875
0.363,0.1953125
0.371,0.2001953125
0.379,0.205078125
0.387,0.2099609375
0.395,0.205078125
0.402,0.21484375
0.41,0.2197265625
0.418,0.21484375
0.426,0.234375
0.434,0.2294921875
0.442,0.234375
0.45,0.2392578125
0.458,0.2392578125
0.465,0.2490234375
0.473,0.25390625
0.481,0.25390625
0.489,0.25390625
0.497,0.263671875
0.505,0.2685546875
0.512,0.263671875
0.52,0.2685546875
0.527,0.2734375
0.535,0.2783203125
0.543,0.2734375
0.55,0.2880859375
0.558,0.2880859375
0.566,0.2880859375
0.573,0.302734375
0.581,0.2978515625
0.589,0.3076171875
0.597,0.3076171875
0.604,0.3076171875
0.612,0.3173828125
0.62,0.3125
0.627,0.322265625
0.635,0.3271484375
0.643,0.33203125
0.651,0.3369140625
0.658,0.3369140625
0.666,0.3466796875
0.674,0.341796875
0.681,0.3466796875
0.689,0.3515625
0.697,0.3515625
0.704,0.361328125
0.712,0.361328125
0.72,0.361328125
0.728,0.3662109375
0.735,0.37109375
0.743,0.3759765625
0.751,0.3857421875
0.758,0.390625
0.766,0.3857421875
0.774,0.3857421875
0.781,0.390625
0.789,0.400390625
0.797,0.3955078125
0.805,0.4052734375
0.812,0.41015625
0.82,0.4052734375
0.828,0.419921875
0.835,0.4248046875
0.843,0.41015625
0.851,0.4248046875
0.859,0.4248046875
0.866,0.4296875
0.874,0.4345703125
0.882,0.4345703125
0.889,0.4443359375
0.897,0.4443359375
0.905,0.4541015625
0.912,0.458984375
0.92,0.458984375
0.928,0.458984375
0.936,0.4638671875
0.943,0.4638671875
0.951,0.46875
0.959,0.478515625
0.966,0.478515625
0.974,0.478515625
0.982,0.4833984375
0.989,0.48828125
0.999,0.4931640625
1.009,0.498046875
1.018,0.5029296875
1.028,0.5078125
1.037,0.5078125
1.047,0.517578125
1.056,0.517578125
1.066,0.5224609375
1.076,0.52734375
1.085,0.5322265625
1.095,0.5322265625
1.105,0.5419921875
1.115,0.5419921875
1.124,0.5517578125
1.134,0.5517578125
1.144,0.5517578125
1.153,0.5615234375
1.163,0.5615234375
1.172,0.576171875
1.182,0.576171875
1.192,0.5810546875
1.202,0.5810546875
1.211,0.576171875
1.221,0.595703125
1.231,0.5908203125
1.24,0.6005859375
1.25,0.6005859375
1.26,0.60546875
1.269,0.615234375
1.279,0.615234375
1.289,0.625
1.298,0.625
1.308,0.6298828125
1.318,0.6298828125
1.327,0.6396484375
1.337,0.6396484375
1.347,0.64453125
1.356,0.6494140625
1.366,0.6494140625
1.376,0.654296875
1.385,0.6640625
1.395,0.6591796875
1.405,0.6689453125
1.415,0.673828125
1.424,0.6787109375
1.434,0.6884765625
1.444,0.68359375
1.453,0.6884765625
1.463,0.6982421875
1.473,0.6982421875
1.482,0.703125
1.492,0.712890625
1.502,0.7080078125
1.511,0.72265625
1.521,0.712890625
1.531,0.72265625
1.54,0.7275390625
1.55,0.732421875
1.56,0.7421875
1.569,0.7421875
1.579,0.7421875
1.589,0.751953125
1.598,0.751953125
1.608,0.7568359375
1.618,0.76171875
1.628,0.7666015625
1.637,0.7666015625
1.647,0.7763671875
1.657,0.7763671875
1.666,0.78125
1.676,0.791015625
1.686,0.791015625
1.695,0.791015625
1.705,0.80078125
1.715,0.8056640625
1.724,0.8056640625
1.734,0.8154296875
1.744,0.8154296875
1.753,0.8203125
1.763,0.8203125
1.773,0.8251953125
1.783,0.830078125
1.792,0.8349609375
1.802,0.8349609375
1.812,0.8447265625
1.821,0.849609375
1.831,0.8447265625
1.841,0.859375
1.85,0.8544921875
1.86,0.859375
1.87,0.869140625
1.879,0.859375
1.889,0.8740234375
1.899,0.87890625
1.908,0.8837890625
1.918,0.87890625
1.928,0.8984375
1.937,0.8935546875
1.947,0.8984375
1.957,0.908203125
1.966,0.908203125
1.976,0.908203125
1.986,0.9228515625
1.996,0.91796875
2.005,0.9228515625
2.015,0.91796875
2.025,0.927734375
2.034,0.9375
2.044,0.927734375
2.054,0.9375
2.064,0.9375
2.073,0.947265625
2.083,0.9521484375
2.093,0.95703125
2.103,0.9619140625
2.112,0.966796875
2.122,0.966796875
2.132,0.9716796875
2.142,0.9716796875
2.152,0.9814453125
2.162,0.9814453125
2.172,0.9912109375
2.181,0.9912109375
2.191,1.0009765625
2.201,0.9912109375
2.211,1.005859375
2.221,1.005859375
2.231,1.0107421875
2.241,1.015625
2.25,1.0205078125
2.26,1.0205078125
2.27,1.0302734375
2.28,1.0302734375
2.29,1.0400390625
2.3,1.0400390625
2.31,1.0400390625
2.32,1.044921875
2.329,1.0498046875
2.339,1.0546875
2.349,1.0595703125
2.359,1.064453125
2.369,1.064453125
2.379,1.07421875
2.388,1.0791015625
2.398,1.083984375
2.408,1.083984375
2.418,1.083984375
2.428,1.09375
2.438,1.09375
2.448,1.0986328125
2.458,1.0888671875
2.467,1.1083984375
2.477,1.11328125
2.487,1.11328125
2.497,1.123046875
2.507,1.1279296875
2.517,1.123046875
2.527,1.1279296875
2.537,1.1376953125
2.546,1.1376953125
2.556,1.1376953125
2.566,1.142578125
2.576,1.1474609375
2.586,1.1474609375
2.596,1.15234375
2.606,1.162109375
2.615,1.1669921875
2.625,1.1669921875
2.635,1.171875
2.645,1.1669921875
2.655,1.181640625
2.665,1.181640625
2.675,1.1962890625
2.684,1.19140625
2.694,1.1962890625
2.704,1.1962890625
2.714,1.201171875
2.724,1.201171875
2.734,1.2060546875
2.744,1.2060546875
2.754,1.2158203125
2.763,1.2158203125
2.773,1.2255859375
2.783,1.2255859375
2.793,1.2353515625
2.803,1.2353515625
2.813,1.2451171875
2.823,1.2451171875
2.832,1.2451171875
2.842,1.2451171875
2.852,1.259765625
2.862,1.259765625
2.872,1.26953125
2.882,1.259765625
2.892,1.26953125
2.902,1.26953125
2.911,1.279296875
2.921,1.2744140625
2.931,1.2841796875
2.941,1.2890625
2.951,1.2939453125
2.961,1.2939453125
2.971,1.3037109375
2.98,1.3037109375
2.99,1.30859375
3.0,1.30859375
3.01,1.318359375
3.02,1.3134765625
3.03,1.3232421875
3.04,1.3232421875
3.049,1.337890625
3.059,1.3330078125
3.069,1.337890625
3.079,1.3427734375
3.089,1.3525390625
3.099,1.337890625
3.109,1.3525390625
3.118,1.357421875
3.128,1.357421875
3.138,1.3623046875
3.148,1.3623046875
3.158,1.3671875
3.168,1.3720703125
3.178,1.376953125
3.187,1.3818359375
3.197,1.38671875
3.207,1.3916015625
3.217,1.3916015625
3.227,1.396484375
3.237,1.4013671875
3.247,1.4013671875
3.256,1.4111328125
3.266,1.4111328125
3.276,1.416015625
3.286,1.42578125
3.296,1.4208984375
3.306,1.42578125
3.316,1.42578125
3.326,1.4306640625
3.335,1.435546875
3.345,1.435546875
3.355,1.4404296875
3.365,1.4404296875
3.375,1.4501953125
3.385,1.4501953125
3.395,1.4501953125
3.404,1.4599609375
3.414,1.46484375
3.424,1.46484375
3.434,1.4697265625
3.444,1.474609375
3.454,1.4794921875
3.464,1.4794921875
3.473,1.484375
3.483,1.4892578125
3.493,1.494140625
3.503,1.4990234375
3.513,1.494140625
3.523,1.4990234375
3.533,1.4990234375
3.543,1.50390625
3.552,1.513671875
3.562,1.513671875
3.572,1.5185546875
3.582,1.5234375
3.592,1.5283203125
3.602,1.533203125
3.612,1.5283203125
3.621,1.5380859375
3.631,1.54296875
3.641,1.5478515625
3.651,1.5478515625
3.661,1.552734375
3.671,1.5576171875
3.681,1.5576171875
3.69,1.5625
3.7,1.5673828125
3.71,1.572265625
3.72,1.5771484375
3.73,1.5771484375
3.74,1.58203125
3.75,1.58203125
3.76,1.5869140625
3.769,1.5869140625
3.779,1.5966796875
3.789,1.5966796875
3.799,1.6064453125
3.809,1.6064453125
3.819,1.611328125
3.829,1.6064453125
3.838,1.6162109375
3.848,1.62109375
3.858,1.62109375
3.868,1.6259765625
3.878,1.6357421875
3.888,1.6357421875
3.898,1.6357421875
3.908,1.640625
3.917,1.6455078125
3.927,1.650390625
3.937,1.650390625
3.947,1.66015625
3.957,1.6552734375
3.967,1.66015625
3.977,1.66015625
3.987,1.6650390625
3.996,1.669921875
4.006,1.6748046875
4.016,1.6748046875
4.026,1.6796875
4.036,1.6845703125
4.045,1.689453125
4.055,1.689453125
4.065,1.689453125
4.075,1.6943359375
4.085,1.69921875
4.094,1.7041015625
4.104,1.7041015625
4.114,1.708984375
4.124,1.71875
4.134,1.7138671875
4.143,1.71875
4.153,1.7236328125
4.163,1.728515625
4.173,1.7333984375
4.183,1.7333984375
4.192,1.73828125
4.202,1.7431640625
4.212,1.7431640625
4.222,1.748046875
4.232,1.748046875
4.242,1.7578125
4.252,1.7578125
4.262,1.7626953125
4.271,1.7626953125
4.281,1.767578125
4.291,1.7724609375
4.301,1.7724609375
4.311,1.77734375
4.321,1.7822265625
4.331,1.787109375
4.341,1.7919921875
4.351,1.787109375
4.36,1.7919921875
4.37,1.796875
4.38,1.806640625
4.39,1.8017578125
4.4,1.8115234375
4.41,1.8115234375
4.42,1.81640625
4.43,1.8212890625
4.44,1.8212890625
4.45,1.826171875
4.459,1.8310546875
4.469,1.8310546875
4.479,1.8359375
4.489,1.8408203125
4.499,1.845703125
4.509,1.845703125
4.519,1.8505859375
4.529,1.85546875
4.539,1.85546875
4.548,1.8603515625
4.558,1.865234375
4.568,1.865234375
4.578,1.8701171875
4.588,1.8701171875
4.598,1.875
4.608,1.8701171875
4.618,1.884765625
4.628,1.884765625
4.638,1.8896484375
4.647,1.89453125
4.657,1.8896484375
4.667,1.8994140625
4.677,1.904296875
4.687,1.904296875
4.697,1.9091796875
4.707,1.9091796875
4.717,1.9140625
4.727,1.9091796875
4.737,1.9189453125
4.747,1.923828125
4.756,1.9287109375
4.766,1.93359375
4.776,1.9287109375
4.786,1.9384765625
4.796,1.9384765625
4.806,1.943359375
4.816,1.9384765625
4.826,1.953125
4.836,1.953125
4.845,1.953125
4.855,1.9580078125
4.865,1.962890625
4.875,1.962890625
4.885,1.97265625
4.895,1.9677734375
4.905,1.97265625
4.915,1.97265625
4.925,1.982421875
4.935,1.9873046875
4.945,1.9873046875
4.954,1.9873046875
4.964,1.9921875
4.974,1.9970703125
4.984,1.9970703125
4.994,2.001953125
5.004,1.9970703125
5.014,2.0068359375
5.024,2.01171875
5.033,2.0166015625
5.043,2.021484375
5.053,2.021484375
5.063,2.0263671875
5.073,2.021484375
5.083,2.03125
5.093,2.0361328125
5.103,2.0361328125
5.113,2.041015625
5.123,2.0458984375
5.132,2.05078125
5.142,2.05078125
5.152,2.0556640625
5.162,2.0556640625
5.172,2.060546875
5.182,2.0654296875
5.192,2.0654296875
5.202,2.0703125
5.212,2.0751953125
5.222,2.0751953125
5.231,2.0849609375
5.241,2.080078125
5.251,2.0849609375
5.261,2.080078125
5.271,2.0947265625
5.281,2.0947265625
5.291,2.099609375
5.301,2.1044921875
5.311,2.109375
5.32,2.109375
5.33,2.109375
5.34,2.119140625
5.35,2.1142578125
5.36,2.119140625
5.37,2.1240234375
5.38,2.119140625
5.39,2.1337890625
5.4,2.1337890625
5.41,2.138671875
5.419,2.1435546875
5.429,2.138671875
5.439,2.1484375
5.449,2.1533203125
5.459,2.158203125
5.469,2.1533203125
5.479,2.1630859375
5.489,2.16796875
5.499,2.1630859375
5.508,2.1630859375
5.518,2.1728515625
5.528,2.177734375
5.538,2.1728515625
5.548,2.1826171875
5.558,2.1826171875
5.568,2.1826171875
5.578,2.1875
5.588,2.1923828125
5.598,2.197265625
5.608,2.197265625
5.617,2.197265625
5.627,2.20703125
5.637,2.2021484375
5.647,2.20703125
5.657,2.2119140625
5.667,2.216796875
5.677,2.216796875
5.687,2.2265625
5.697,2.2216796875
5.707,2.2265625
5.716,2.2314453125
5.726,2.2265625
5.736,2.236328125
5.746,2.236328125
5.756,2.2412109375
5.766,2.2412109375
5.776,2.2509765625
5.786,2.2509765625
5.796,2.255859375
5.805,2.2607421875
5.815,2.255859375
5.825,2.2607421875
5.835,2.265625
5.845,2.265625
5.855,2.2705078125
5.865,2.275390625
5.875,2.275390625
5.885,2.2802734375
5.895,2.28515625
5.905,2.28515625
5.914,2.2900390625
5.924,2.294921875
5.934,2.294921875
5.944,2.2998046875
5.954,2.3046875
5.964,2.3046875
5.974,2.3046875
5.984,2.314453125
5.994,2.3095703125
6.003,2.314453125
6.013,2.314453125
6.023,2.3193359375
6.033,2.32421875
6.043,2.32421875
6.053,2.333984375
6.063,2.333984375
6.073,2.3388671875
6.083,2.3388671875
6.093,2.34375
6.102,2.34375
6.112,2.3486328125
6.122,2.3486328125
6.132,2.353515625
6.142,2.3583984375
6.152,2.3681640625
6.162,2.36328125
6.172,2.3681640625
6.182,2.373046875
6.192,2.373046875
6.201,2.3779296875
6.211,2.3779296875
6.221,2.3828125
6.231,2.3876953125
6.241,2.3876953125
6.251,2.392578125
6.261,2.392578125
6.271,2.3974609375
6.28,2.40234375
6.29,2.40234375
6.3,2.4072265625
6.31,2.4072265625
6.32,2.4169921875
6.33,2.412109375
6.34,2.4169921875
6.35,2.421875
6.36,2.421875
